1 1
2 1
3 2
4 2
5 2
6 2
7 2
8 2
9 32
10 32
11 55
12 146
13 316
14 849
15 2155
16 5517
17 13369
18 28435
19 50516
20 74727
21 101352
22 126873
23 148666
24 168517
25 185671
26 199974
27 212577
28 222590
29 231914
30 239731
31 246739
32 252566
33 257436
34 261667
35 265759
36 269085
37 272094
38 274680
39 276832
40 278938
41 280595
42 282304
43 283345
44 284572
45 285725
46 286842
47 287607
48 288350
49 289195
50 289505
51 290061
52 290605
53 291263
54 291379
55 291723
56 291992
57 292290
58 292409
59 292608
60 292929
61 292868
62 293158
63 293014
64 293105
65 293608
66 293644
67 293800
68 293785
69 294051
70 293869
71 294096
72 293851
73 294130
74 294112
75 294102
76 294211
77 294212
78 294286
79 294408
80 294214
81 294539
82 294113
83 294774
84 294346
85 294510
86 294631
87 294361
88 294231
89 294061
90 294427
